_id,author,title,description,url,urlToImage,publishedAt,content,entreprise,id_source,name_source
673a29491967847a73005e16,,How Much Will Alphabet Pay Out in Dividends in 2025?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0e9f56f7-3a11-4cf5-9d46-aac52b33557f,,2024-11-09,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",Alphabet,,Yahoo Entertainment
673a29491967847a73005e17,Julie Hyman,Amazon's a company investors can 'put money to work in': Analyst,"Big tech companies, including Amazon (AMZN), Meta Platforms (META), and Alphabet (GOOG, GOOGL), posted solid third earnings this season. Despite the strong...",https://finance.yahoo.com/video/amazons-company-investors-put-money-225700217.html,https://s.yimg.com/ny/api/res/1.2/8kYERCPWXqdOlqYUUZYbwg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/089b8260-9afc-11ef-9be7-7d77443fff41,2024-11-04,"Big tech companies, including Amazon (AMZN), Meta Platforms (META), and Alphabet (GOOG, GOOGL), posted solid third earnings this season. Despite the strong showings, capital expenditures (CapEx) on a… [+1042 chars]",Alphabet,,Yahoo Entertainment
673a29491967847a73005e18,Matt Novak,"Waymo Drops Waitlist, Opens Robotaxis to Anyone in Los Angeles",The driverless vehicles still can't take L.A.'s notorious highways.,https://gizmodo.com/waymo-drops-waitlist-opens-robotaxis-to-anyone-in-los-angeles-2000523658,https://gizmodo.com/app/uploads/2024/11/GettyImages-2071907679.jpg,2024-11-12,"Waymo, the robotaxi service owned by Alphabet, has dropped its waitlist of roughly 300,000 people and will now be open to anyone with a smartphone in Los Angeles, according to an announcement on the … [+2969 chars]",Alphabet,,Gizmodo.com
673a29491967847a73005e19,msmash,Tech Giants Are Set To Spend $200 Billion This Year Chasing AI,"Three months ago, Wall Street punished the world's largest technology firms for spending enormous amounts to develop artificial intelligence, only to deliver results that failed to justify the costs. Silicon Valley's response this quarter? Plans to invest eve…",https://tech.slashdot.org/story/24/11/01/1238226/tech-giants-are-set-to-spend-200-billion-this-year-chasing-ai,https://a.fsdn.com/sd/topics/topicgoogle_fb.gif,2024-11-01,"The capital expenditures of the four largest internet and software companies -- Amazon, Microsoft, Meta and Alphabet -- are set to total well over $200 billion this year, a record sum for the proflig… [+508 chars]",Alphabet,,Slashdot.org
673a29491967847a73005e1a,Andreas Knobloch,Los Angeles: Waymos Robotaxi-Service für alle,Die autonomen Taxis von Waymo befördern in Los Angeles künftig jeden. Die Alphabet-Tochter plant bereits die Expansion in weitere Städte in den USA.,https://www.heise.de/news/Los-Angeles-Waymos-Robotaxi-Service-fuer-alle-10029470.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/7/1/2/5/5/6/IMG_0796-02b9e9e8d2693a6e.JPG,2024-11-12,"Ab sofort ist der Robotertaxi-Service des US-Start-ups Waymo in Los Angeles im US-Bundesstaat Kalifornien rund um die Uhr für jeden zugänglich, der eine fahrerlose Fahrt wünscht. Das gab die Alphabet… [+3056 chars]",Alphabet,,heise online
673a29491967847a73005e1b,kcloonan@insider.com (Kelly Cloonan),These 5 billionaires were the biggest net-worth winners today as stocks surged,"A handful of billionaires saw their net worth rise by a combined $55 billion on Wednesday, driven by a euphoric post-election rally in the stock market.",https://markets.businessinsider.com/news/stocks/billionaires-net-worth-trump-stock-market-nvidia-tesla-2024-11,https://i.insider.com/672be3b45ec9bfa3d63c3bc8?width=1200&format=jpeg,2024-11-06,"The world's richest people saw huge gains in their net worth on Wednesday as markets cheered the outcome of the 2024 election.
Elon Musk, Larry Ellison, Warren Buffett, Jeff Bezos, and Jensen Huang … [+3081 chars]",Alphabet,business-insider,Business Insider
673a29491967847a73005e1c,"Alistair Barr,Kwan Wei Kevin Tan,Matthew Loh,Beatrice Nolan",The cloud rises and AI pays off — 3 takeaways from tech's big earnings week,"It's been a big week. Here's what Big Tech earnings told us about cloud, AI, and chips.",https://www.businessinsider.com/tech-earnings-takeaway-q3-ai-cloud-chips-amazon-meta-apple-2024-11,https://i.insider.com/6724bb3aa0a0cc14f2256ee1?width=1200&format=jpeg,2024-11-01,"It's been a big week in Big Tech earnings, and three major themes in the markets have emerged.Business Insider
<ul><li>Tech giants Meta, Alphabet, Amazon, and Apple all reported earnings this week.<… [+6675 chars]",Alphabet,business-insider,Business Insider
673a29491967847a73005e1d,msmash,"US Army Should Ditch Tanks For AI Drones, Says Eric Schmidt","Former Google chief Eric Schmidt thinks the US Army should expunge ""useless"" tanks and replace them with AI-powered drones instead. From a report: Speaking at the Future Investment Initiative in Saudi Arabia this week, he said: ""I read somewhere that the US h…",https://news.slashdot.org/story/24/10/31/2030255/us-army-should-ditch-tanks-for-ai-drones-says-eric-schmidt,https://a.fsdn.com/sd/topics/ai_64.png,2024-11-01,"Speaking at the Future Investment Initiative in Saudi Arabia this week, he said: ""I read somewhere that the US had thousands and thousands of tanks stored somewhere,"" adding, ""Give them away. Buy a d… [+1160 chars]",Alphabet,,Slashdot.org
673a29491967847a73005e1e,Gael Cooper,"Today's Wordle Hints, Answer and Help for Nov. 15, #1245","Here's today's Wordle answer, plus a look at spoiler-free hints and past solutions. These clues will help you solve The New York Times' popular puzzle game, Wordle, every day.",https://www.cnet.com/tech/gaming/todays-wordle-hints-answer-and-help-for-nov-15-1245/,https://www.cnet.com/a/img/resize/c2b8d1e2686bcca5e387fa0b6c89fa264d27a6c4/hub/2024/05/28/20480816-214e-4fcc-a9b4-b02f0ac71e7c/wordle-word-game-hints-puzzle-8667.jpg?auto=webp&fit=crop&height=675&width=1200,2024-11-15,"Looking for the most recent Wordle answer? Click here for today's Wordle hints, as well as our daily answers and hints for The New York Times Mini Crossword, Connections and Strands puzzles.
There a… [+2882 chars]",Alphabet,,CNET
673a29491967847a73005e1f,Kelsey Vlamis,Amazon CEO Andy Jassy says he has a secret weapon in the AI wars,"Amazon CEO Andy Jassy said AWS, its cloud-computing unit, shows it's got the logistical know-how to succeed in artificial intelligence.",https://www.businessinsider.com/amazon-ceo-andy-jassy-secret-weapon-ai-aws-2024-10,https://i.insider.com/6724260d01ea6d83dee5911e?width=1200&format=jpeg,2024-11-01,"CEO Andy Jassy talked up Amazon's investments in AI during Amazon's third-quarter earnings call.Rodin Eckenroth/WireImage
<ul><li>Amazon CEO Andy Jassy said AWS gives the company a leg up in the AI … [+2579 chars]",Alphabet,business-insider,Business Insider
